0 ,  0.9360601 ,  Social norms ,  Consideration of social norms
87 ,  0.68918574 ,  Respect for the individual's autonomy ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self
88 ,  0.68650115 ,  Commitment to a cause ,  Commitment to values
89 ,  0.68532026 ,  Fairness and honesty in decision- ,  Integrity in personal decisions
90 ,  0.68389297 ,  Respect for personal property ,  Respect for others' possessions
91 ,  0.6789582 ,  Kindness toward others ,  Compassion
92 ,  0.67820954 ,  Responsibility for actions ,  Consideration of implications of actions
93 ,  0.6780202 ,  Empathy towards others' choices ,  Consideration for others' opinions
94 ,  0.6779071 ,  Integrity in action ,  Responsibility for actions
95 ,  0.67722607 ,  Value of relationships ,  Healthy interpersonal relationships
96 ,  0.6767215 ,  Respect for others' feelings ,  Empathy towards others' needs
97 ,  0.675805 ,  Consideration for others' opinions ,  Respect for individual choices
98 ,  0.6757665 ,  Empathy towards others' preferences ,  Kindness toward others
99 ,  0.6753207 ,  Integrity in personal decisions ,  Honesty and integrity
100 ,  0.67471623 ,  Honesty and accountability ,  Integrity in action
101 ,  0.6740488 ,  Communication ,  Understanding the effects of inappropriate communication
102 ,  0.6737942 ,  Autonomy in decision-making ,  Respect for the individual's autonomy
103 ,  0.67296654 ,  Empathy towards others' choices ,  Respect for individual choices
104 ,  0.6719148 ,  Kindness toward others ,  Empathy towards others' choices
105 ,  0.6711844 ,  Honesty in social interactions ,  Healthy interpersonal relationships
106 ,  0.669732 ,  Prioritizing relationships ,  Relationship building
107 ,  0.664821 ,  Empathy towards others' preferences ,  Consideration for others' opinions
108 ,  0.6626983 ,  Social norms ,  Social responsibility
109 ,  0.66165334 ,  Respect for the individual's autonomy ,  Respect for individual choices
110 ,  0.66139066 ,  Empathy towards others' preferences ,  Consideration of others' comfort
111 ,  0.660899 ,  Communication ,  Empowerment through communication
112 ,  0.65939045 ,  Fairness and honesty in decision- ,  Honesty in social interactions
113 ,  0.65842104 ,  Self-actualization ,  Building self-awareness
114 ,  0.65721655 ,  Relationship dynamics ,  Healthy interpersonal relationships
115 ,  0.6571249 ,  Respect for ,  Appreciation
116 ,  0.6570973 ,  Commitment to personal goals ,  Commitment to values
117 ,  0.65648884 ,  Consideration of others' comfort ,  Respect for others' feelings
118 ,  0.65478504 ,  Consideration of others' comfort ,  Empathy towards others' choices
119 ,  0.6541692 ,  Healthy interpersonal relationships ,  Fostering positive relationships
120 ,  0.65280867 ,  Ethical responsibility towards others ,  Taking responsibility for one's own actions
121 ,  0.6523529 ,  Compassion ,  Empathy towards others' needs
122 ,  0.65215564 ,  Understanding the social dynamics ,  Social norms
123 ,  0.65120685 ,  Prioritizing relationships ,  Relationship dynamics
124 ,  0.65100026 ,  Kindness toward others ,  Empathy towards others' needs
125 ,  0.65031224 ,  Responsibility ,  Integrity in action
126 ,  0.647177 ,  Consideration of social norms ,  Social responsibility
127 ,  0.64668536 ,  Respect for the individual's autonomy ,  Respect for others' personal choices and beliefs
128 ,  0.6461185 ,  Understanding of Biological and Emotional Change ,  Emotional regulation
129 ,  0.6455854 ,  Ability to communicate effectively ,  Empowerment through communication
130 ,  0.64410007 ,  Consideration of ,  Consideration for others' opinions
131 ,  0.6419742 ,  Supportiveness ,  Fostering positive relationships
132 ,  0.641748 ,  Respect for individual choices ,  Consideration for others' feelings
133 ,  0.64165574 ,  Respect for ,  Respect for others' possessions
134 ,  0.6415597 ,  Understanding the social dynamics ,  Relationship dynamics
135 ,  0.64129853 ,  Consideration of others' comfort ,  Empathy towards others' situations
136 ,  0.6398343 ,  Compassion ,  Empathy towards others' situations
137 ,  0.6394539 ,  Respect for others' personal choices and beliefs ,  Respect for others' possessions
138 ,  0.6392522 ,  Self-control ,  Building self-awareness
139 ,  0.63921356 ,  Consideration of ,  Consideration of implications of actions
140 ,  0.6386952 ,  Autonomy in decision-making ,  Integrity in personal decisions
141 ,  0.6370551 ,  Compassion ,  Generosity towards those suffering
142 ,  0.63548493 ,  Respect for the privacy of others ,  Respect for others' possessions
143 ,  0.63546026 ,  Understanding the social dynamics ,  Understanding of societal norms
144 ,  0.63463736 ,  Understanding the social dynamics ,  Consideration of social norms
145 ,  0.63421595 ,  Taking responsibility for one's own actions ,  Social responsibility
146 ,  0.6339695 ,  Prioritizing relationships ,  Fostering a relationship
147 ,  0.6338875 ,  Prioritizing relationships ,  Value of relationships
148 ,  0.63138515 ,  Respect for others' personal choices and beliefs ,  Respect for the privacy of others
149 ,  0.624936 ,  Personal value judgement ,  Integrity in personal decisions
150 ,  0.62326264 ,  Respect for personal property ,  Respect for the privacy of others
151 ,  0.6216327 ,  Compassion ,  Empathy towards others' choices
152 ,  0.6194496 ,  Kindness toward others ,  Respect for others' possessions
153 ,  0.6183907 ,  Supportiveness ,  Providing feedback and support
154 ,  0.61749053 ,  Consideration of others' comfort ,  Consideration for others' opinions
155 ,  0.6168201 ,  Consideration of others' comfort ,  Supportiveness
156 ,  0.61661875 ,  Personal value judgement ,  Respect for personal property
157 ,  0.6165057 ,  Commitment to personal goals ,  Commitment to a cause
158 ,  0.6162695 ,  Relationship dynamics ,  Fostering a relationship
159 ,  0.61551166 ,  Kindness toward others ,  Respect for others' feelings
160 ,  0.6154857 ,  Respect for ,  Recognition and appreciation
161 ,  0.6154541 ,  Personal value judgement ,  Value
162 ,  0.6152749 ,  Consequences of ,  Harmful effects of societal influences
163 ,  0.61491364 ,  Ethical responsibility towards others ,  Integrity in action
164 ,  0.6148898 ,  Consideration of others' comfort ,  Empathy towards others' needs
165 ,  0.6148151 ,  Respect for private property ,  Respect for the privacy of others
166 ,  0.61329365 ,  Respect for the individual's autonomy ,  Respect for the privacy of others
167 ,  0.6132401 ,  Integrity in personal decisions ,  Respect for individual choices
168 ,  0.6130638 ,  Respect for ,  Respect for individual choices
169 ,  0.60866755 ,  Integrity in personal decisions ,  Honesty and accountability
170 ,  0.6086328 ,  Kindness toward others ,  Generosity-based mental health
171 ,  0.60861135 ,  Autonomy in decision-making ,  Respect for individual choices
172 ,  0.60762876 ,  Taking responsibility ,  Integrity in action
173 ,  0.6067952 ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self ,  Self-expression
174 ,  0.60665447 ,  Self-expression ,  Building self-awareness
175 ,  0.60652125 ,  Respect for others' feelings ,  Consideration for others' opinions
176 ,  0.60587305 ,  Consideration for others' feelings ,  Consideration of implications of actions
177 ,  0.6052059 ,  Respect for others' personal choices and beliefs ,  Empathy towards others' situations
178 ,  0.6044533 ,  Respect for others' feelings ,  Respect for the privacy of others
179 ,  0.60165477 ,  Consideration for others' opinions ,  Consideration of implications of actions
180 ,  0.6011734 ,  Empathy towards others' preferences ,  Compassion
181 ,  0.59964186 ,  Responsibility in dealing with others ,  Integrity in action
182 ,  0.5958432 ,  Consideration of ,  Respect for individual choices
183 ,  0.595788 ,  Fostering a relationship ,  Healthy interpersonal relationships
184 ,  0.59400403 ,  Ability to communicate effectively ,  Understanding the effects of inappropriate communication
185 ,  0.5929669 ,  Respect for others' feelings ,  Respect for individual choices
186 ,  0.59254026 ,  Harmful effects of societal influences ,  Understanding of societal norms
187 ,  0.5915233 ,  Understanding the social dynamics ,  Awareness of social norms
188 ,  0.59128726 ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self ,  Self-interest: Having
189 ,  0.5903681 ,  Autonomy in decision-making ,  Fairness and honesty in decision-
190 ,  0.5889773 ,  Ethical communication and support systems ,  Integrity in action
191 ,  0.5888915 ,  Appreciation ,  Respect for others' possessions
192 ,  0.5881309 ,  Prioritizing relationships ,  Fostering positive relationships
193 ,  0.5875174 ,  Respect for private property ,  Respect for others' possessions
194 ,  0.5869851 ,  Consequences of ,  Consideration of implications of actions
195 ,  0.58635056 ,  Responsibility in dealing with others ,  Empathy towards others' situations
196 ,  0.5860063 ,  Consideration for others' opinions ,  Empathy towards others' situations
197 ,  0.5848139 ,  Empathy towards others' preferences ,  Respect for individual choices
198 ,  0.5848042 ,  Honesty and accountability ,  Ethical responsibility towards others
199 ,  0.5846884 ,  Autonomy ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self
200 ,  0.58365196 ,  Kindness toward others ,  Supportiveness
201 ,  0.5835525 ,  Prioritizing relationships ,  Healthy interpersonal relationships
202 ,  0.58320177 ,  Consideration of others' comfort ,  Respect for others' personal choices and beliefs
203 ,  0.58278936 ,  Fairness and honesty in decision- ,  Consent and acceptance of differences
204 ,  0.58247036 ,  Kindness toward others ,  Consideration of others' comfort
205 ,  0.58241516 ,  Empathy towards others' preferences ,  Respect for others' possessions
206 ,  0.5820855 ,  Respect for ,  Respect for personal property
207 ,  0.5812237 ,  Awareness of social norms ,  Social responsibility
208 ,  0.58028156 ,  Consideration of implications of actions ,  Taking responsibility for one's own actions
209 ,  0.57940567 ,  Recognition and appreciation ,  Recognition of efforts
210 ,  0.57887614 ,  Selfishness ,  Empathy towards others' situations
211 ,  0.57803285 ,  Empathy towards others' needs ,  Generosity towards those suffering
212 ,  0.5750209 ,  Commitment to a cause ,  Responsibility in dealing with others
213 ,  0.5736662 ,  Consideration for others' feelings ,  Respect for others' possessions
214 ,  0.57283586 ,  Respect for the individual's autonomy ,  Empathy towards others' preferences
215 ,  0.5728253 ,  Risk assessment for misconduct ,  Risk-taking
216 ,  0.5724126 ,  Respect for ,  Respect for the privacy of others
217 ,  0.57236594 ,  Respect for others' personal choices and beliefs ,  Integrity in personal decisions
218 ,  0.5718987 ,  Value of relationships ,  Fostering positive relationships
219 ,  0.57167983 ,  Commitment to a cause ,  Generosity towards those suffering
220 ,  0.5706723 ,  Respect for personal property ,  Respect for others' personal choices and beliefs
221 ,  0.5705828 ,  Respect for ,  Respect for others' personal choices and beliefs
222 ,  0.57030916 ,  Legal ramifications ,  Justice in the law
223 ,  0.5697193 ,  Ethical responsibility towards others ,  Empathy towards others' situations
224 ,  0.5669743 ,  Respect for others' personal choices and beliefs ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self
225 ,  0.56657153 ,  Respect for the individual's autonomy ,  Respect for
226 ,  0.5664285 ,  Self-interest: Having ,  Consideration for others' feelings
227 ,  0.5663811 ,  Empathy towards others' choices ,  Ethical responsibility towards others
228 ,  0.56555235 ,  Empathy towards others' preferences ,  Selfishness
229 ,  0.5654334 ,  Respect for the individual's autonomy ,  Respect for others' feelings
230 ,  0.5654059 ,  Respect for others' personal choices and beliefs ,  Consent and acceptance of differences
231 ,  0.5651088 ,  Respect for ,  Respect for diversity and difference
232 ,  0.5647752 ,  Honesty and accountability ,  Responsibility
233 ,  0.5647668 ,  Respect for individual choices ,  Respect for others' possessions
234 ,  0.56455445 ,  Respect for others' personal choices and beliefs ,  Empathy towards others' needs
235 ,  0.5645305 ,  Respect for the individual's autonomy ,  Respect for personal property
236 ,  0.5637896 ,  Respect for others' personal choices and beliefs ,  Ethical responsibility towards others
237 ,  0.5633162 ,  Consent and acceptance of differences ,  Respect for individual choices
238 ,  0.5630916 ,  Empathy towards others' preferences ,  Supportiveness
239 ,  0.5627479 ,  Responsibility in dealing with others ,  Empathy towards others' needs
240 ,  0.5621836 ,  Kindness toward others ,  Consideration for others' feelings
241 ,  0.56150216 ,  Consideration of ,  Consideration for others' feelings
242 ,  0.5608479 ,  Value of relationships ,  Fostering a relationship
243 ,  0.560648 ,  Understanding of societal norms ,  Social responsibility
244 ,  0.56040454 ,  Risk-taking ,  Harmful consequences
245 ,  0.5602168 ,  Respect for the individual's autonomy ,  Taking responsibility for one's own actions
246 ,  0.560165 ,  Consider ,  Respect for individual choices
247 ,  0.5577179 ,  Taking responsibility ,  Honesty and accountability
248 ,  0.5567723 ,  Understanding the social dynamics ,  Healthy interpersonal relationships
249 ,  0.556656 ,  Fairness and honesty in decision- ,  Respect for individual choices
250 ,  0.5558151 ,  Empathy towards others' needs ,  Ethical responsibility towards others
251 ,  0.5553117 ,  Fairness and honesty in decision- ,  Integrity in action
252 ,  0.5552498 ,  Self-interest: Having ,  Self-expression
253 ,  0.5541958 ,  Responsibility in dealing with others ,  Empathy towards others' choices
254 ,  0.55412734 ,  Respect for the privacy of others ,  Ethical responsibility towards others
255 ,  0.5540356 ,  Integrity in action ,  Taking responsibility for one's own actions
256 ,  0.5534938 ,  Respect for the individual's autonomy ,  Belief in one's own abilities
257 ,  0.5531929 ,  Compassion ,  Generosity-based mental health
258 ,  0.5506844 ,  Generosity-based mental health ,  Supportiveness
259 ,  0.549777 ,  Integrity in action ,  Ethical Living
260 ,  0.54968417 ,  Personal value judgement ,  Respect for others' personal choices and beliefs
261 ,  0.5492499 ,  Self-interest: Having ,  Building self-awareness
262 ,  0.5480891 ,  Respect for the individual's autonomy ,  Empathy towards others' choices
263 ,  0.547784 ,  Consideration for others' opinions ,  Consider
264 ,  0.54736876 ,  Honesty and accountability ,  Responsibility for actions
265 ,  0.54631513 ,  Kindness toward others ,  Selfishness
266 ,  0.54596686 ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self ,  Respect for individual choices
267 ,  0.54559207 ,  Integrity in personal decisions ,  Risk assessment for misconduct
268 ,  0.5451783 ,  Honesty and accountability ,  Responsibility in dealing with others
269 ,  0.54491794 ,  Selfishness ,  Self-interest: Having
270 ,  0.5445013 ,  Respect for the individual's autonomy ,  Respect for private property
271 ,  0.5439085 ,  Empowerment through communication ,  Empower
272 ,  0.54350656 ,  Kindness toward others ,  Ethical responsibility towards others
273 ,  0.5433737 ,  Honesty and integrity ,  Ethical Living
274 ,  0.5428237 ,  Communication ,  Ethical communication and support systems
275 ,  0.5427134 ,  Honesty and accountability ,  Social responsibility
276 ,  0.54249114 ,  Kindness toward others ,  Honesty in social interactions
277 ,  0.54207546 ,  Respect for the individual's autonomy ,  Respect for others' possessions
278 ,  0.5415269 ,  Value of relationships ,  Understanding the social dynamics
279 ,  0.5409521 ,  Integrity in action ,  Social responsibility
280 ,  0.54071796 ,  Empathy towards others' needs ,  Selfishness
281 ,  0.54012823 ,  Empathy towards others' needs ,  Consideration for others' opinions
282 ,  0.5400431 ,  Respect for diversity and difference ,  Respect for individual choices
283 ,  0.5396352 ,  Respect for the privacy of others ,  Respect for individual choices
284 ,  0.5396203 ,  Empathy towards others' needs ,  Supportiveness
285 ,  0.5395427 ,  Ethical communication and support systems ,  Providing feedback and support
286 ,  0.5393984 ,  Kindness toward others ,  Appreciation
287 ,  0.53901136 ,  Integrity in personal decisions ,  Ethical responsibility towards others
288 ,  0.538994 ,  Understanding the social dynamics ,  Social responsibility
289 ,  0.5386301 ,  Responsibility in dealing with others ,  Consideration of implications of actions
290 ,  0.53811646 ,  Compassion ,  Supportiveness
291 ,  0.53763235 ,  Recognition of efforts ,  Consideration of implications of actions
292 ,  0.53755915 ,  Belief in one's own abilities ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self
293 ,  0.5372942 ,  Empathy towards others' choices ,  Generosity towards those suffering
294 ,  0.53711987 ,  Personal value judgement ,  Respect for individual choices
295 ,  0.5360967 ,  Empowerment through communication ,  Ethical communication and support systems
296 ,  0.5352671 ,  Relationship building ,  Understanding the social dynamics
297 ,  0.5349809 ,  Generosity towards those suffering ,  Empathy towards others' situations
298 ,  0.53497666 ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self ,  Building self-awareness
299 ,  0.5347917 ,  Honesty and integrity ,  Ethical responsibility towards others
300 ,  0.5345877 ,  Respect for individual choices ,  Consideration of implications of actions
301 ,  0.534457 ,  Consideration of others' comfort ,  Respect for others' possessions
302 ,  0.5342605 ,  Supportiveness ,  Consideration for others' feelings
303 ,  0.5342438 ,  Commitment to a cause ,  Supportiveness
304 ,  0.53330946 ,  Respect for personal property ,  Respect for individual choices
305 ,  0.5328292 ,  Respect for the individual's autonomy ,  Consent and acceptance of differences
306 ,  0.5327741 ,  Belief in one's own abilities ,  Taking responsibility for one's own actions
307 ,  0.532773 ,  Respect for ,  Respect for private property
308 ,  0.53227645 ,  Consent and acceptance of differences ,  Consideration for others' opinions
309 ,  0.5316244 ,  Integrity in personal decisions ,  Honesty
310 ,  0.53053623 ,  Honesty in social interactions ,  Fostering positive relationships
311 ,  0.5299977 ,  Respect for personal property ,  Respect for others' feelings
312 ,  0.52971375 ,  Ethical communication and support systems ,  Social responsibility
313 ,  0.5296264 ,  Selfishness ,  Self-expression
314 ,  0.5286869 ,  Commitment to a cause ,  Responsibility for actions
315 ,  0.52829814 ,  Supportiveness ,  Empathy towards others' situations
316 ,  0.52790827 ,  Consent and acceptance of differences ,  Respect for the privacy of others
317 ,  0.52781254 ,  Value of relationships ,  Honesty in social interactions
318 ,  0.52778316 ,  Relationship dynamics ,  Fostering positive relationships
319 ,  0.52664936 ,  Responsibility in dealing with others ,  Consideration for others' feelings
320 ,  0.52638483 ,  Commitment to a cause ,  Responsibility
321 ,  0.52571136 ,  Integrity in personal decisions ,  Responsibility in dealing with others
322 ,  0.5256183 ,  Responsibility in dealing with others ,  Ethical communication and support systems
323 ,  0.5245008 ,  Empathy towards others' preferences ,  Ethical responsibility towards others
324 ,  0.5243684 ,  Awareness of shared experiences ,  Building self-awareness
325 ,  0.52415085 ,  Awareness of shared experiences ,  Consideration for others' feelings
326 ,  0.5240376 ,  Compassion ,  Respect for others' feelings
327 ,  0.52390337 ,  Ability to communicate effectively ,  Listening skills
328 ,  0.5236739 ,  Integrity in personal decisions ,  Ethical Living
329 ,  0.5233016 ,  Supportiveness ,  Generosity towards those suffering
330 ,  0.5229857 ,  Self-control ,  Self-expression
331 ,  0.5227575 ,  Professionalism in behavior ,  Integrity in action
332 ,  0.5226487 ,  Consequences of ,  Risk-taking
333 ,  0.52235293 ,  Integrity in personal decisions ,  Responsibility for actions
334 ,  0.5223017 ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self ,  Taking responsibility for one's own actions
335 ,  0.52201855 ,  Social responsibility ,  Ethical Living
336 ,  0.5216776 ,  Consideration of ,  Recognition of efforts
337 ,  0.52070767 ,  Relationship building ,  Honesty in social interactions
338 ,  0.52062637 ,  Commitment to personal goals ,  Self-interest: Having
339 ,  0.5197077 ,  Respect for the individual's autonomy ,  Empathy towards others' situations
340 ,  0.51948917 ,  Risk assessment for misconduct ,  Integrity in action
341 ,  0.51907015 ,  Empathy towards others' choices ,  Respect for others' possessions
342 ,  0.51888114 ,  Respect for others' personal choices and beliefs ,  Responsibility in dealing with others
343 ,  0.5187536 ,  Generosity-based mental health ,  Fostering positive relationships
344 ,  0.5185442 ,  Humor ,  Honesty
345 ,  0.51852596 ,  Understanding the social dynamics ,  Fostering positive relationships
346 ,  0.5183855 ,  Respect for ,  Compassion
347 ,  0.51796424 ,  Ethical communication and support systems ,  Responsibility for actions
348 ,  0.5177306 ,  Kindness toward others ,  Fostering positive relationships
349 ,  0.5171219 ,  Understanding the effects of inappropriate communication ,  Consideration of implications of actions
350 ,  0.516192 ,  Value of relationships ,  Commitment to values
351 ,  0.51541203 ,  Respect for others' feelings ,  Supportiveness
352 ,  0.51501423 ,  Awareness of shared experiences ,  Empathy towards others' needs
353 ,  0.5149571 ,  Honesty in social interactions ,  Empathy towards others' situations
354 ,  0.514938 ,  Autonomy ,  Respect for the privacy of others
355 ,  0.51476765 ,  Honesty and integrity ,  Ethical communication and support systems
356 ,  0.51446515 ,  Empathy towards others' choices ,  Supportiveness
357 ,  0.5139942 ,  Autonomy ,  Empowerment through communication
358 ,  0.51362765 ,  Empathy towards others' choices ,  Selfishness
359 ,  0.5135675 ,  Generosity towards those suffering ,  Ethical responsibility towards others
360 ,  0.51352257 ,  Awareness of shared experiences ,  Empathy towards others' situations
361 ,  0.5127493 ,  Self-control ,  Self-actualization
362 ,  0.5125865 ,  Consideration of others' comfort ,  Compassion
363 ,  0.5116192 ,  Integrity in personal decisions ,  Consent and acceptance of differences
364 ,  0.51131374 ,  Empathy towards others' preferences ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self
365 ,  0.5091021 ,  Autonomy in decision-making ,  Consent and acceptance of differences
366 ,  0.5085592 ,  Harmful effects of societal influences ,  Consideration of social norms
367 ,  0.5078084 ,  Awareness of shared experiences ,  Self-interest: Having
368 ,  0.5070927 ,  Honesty and accountability ,  Ethical Living
369 ,  0.50702167 ,  Honesty in social interactions ,  Social norms
370 ,  0.5065921 ,  Respect for diversity and difference ,  Respect for others' personal choices and beliefs
371 ,  0.50632274 ,  Empathy towards others' preferences ,  Responsibility in dealing with others
372 ,  0.50595313 ,  Respect for ,  Consider
373 ,  0.505373 ,  Empathy towards others' choices ,  Consideration of implications of actions
374 ,  0.5053319 ,  Commitment to a cause ,  Ethical responsibility towards others
375 ,  0.50527287 ,  Respect for ,  Consideration of
376 ,  0.5048127 ,  Consequences of ,  Consideration of
377 ,  0.50475276 ,  Consideration of others' comfort ,  Awareness of shared experiences
378 ,  0.50414777 ,  Professionalism in behavior ,  Responsibility for actions
379 ,  0.5040827 ,  Empathy towards others' preferences ,  Respect for the privacy of others
380 ,  0.5040148 ,  Value of relationships ,  Value
381 ,  0.50383496 ,  Autonomy ,  Integrity in action
382 ,  0.50312257 ,  Empathy towards others' needs ,  Respect for others' possessions
383 ,  0.50280994 ,  Empathy towards others' preferences ,  Awareness of shared experiences
384 ,  0.5027323 ,  Empowerment through communication ,  Fostering positive relationships
385 ,  0.5025742 ,  Commitment to a cause ,  Empathy towards others' needs
386 ,  0.5023613 ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self ,  Professionalism in behavior
387 ,  0.5021528 ,  Respect for ,  Consideration of others' comfort
